Weight IDs and Descriptions from LHERunInfoProduct:
----------------------------------------
Weight ID: reference_point, Value: 0.188727, Description: N/A
Weight ID: EFTrwgt0_ctGIm_m0p936_ctGRe_m0p77_cQj38_0p944_cQj18_2p709_cQu8_0p474_cQd8_m0p91_ctj8_1p553_ctu8_m0p911_ctd8_1p778_cQj31_1p266_cQj11_0p778_cQu1_0p409_cQd1_m0p332_ctj1_m2p023_ctu1_0p08_ctd1_m1p618, Value: 0.093767, Description: N/A
Weight ID: EFTrwgt1_ctGIm_0p097_ctGRe_m0p773_cQj38_m1p826_cQj18_m1p79_cQu8_1p204_cQd8_m0p415_ctj8_1p7_ctu8_m0p584_ctd8_m0p445_cQj31_0p783_cQj11_1p912_cQu1_m1p229_cQd1_m1p385_ctj1_1p947_ctu1_2p979_ctd1_0p568, Value: 0.061713, Description: N/A
Weight ID: EFTrwgt2_ctGIm_0p712_ctGRe_m0p472_cQj38_m2p845_cQj18_2p162_cQu8_m1p785_cQd8_m2p467_ctj8_m2p187_ctu8_0p375_ctd8_m0p876_cQj31_2p588_cQj11_0p031_cQu1_0p545_cQd1_0p92_ctj1_m0p419_ctu1_m1p66_ctd1_m1p308, Value: 0.0180042, Description: N/A
Weight ID: EFTrwgt3_ctGIm_0p243_ctGRe_m0p012_cQj38_m0p896_cQj18_0p121_cQu8_m2p098_cQd8_m2p57_ctj8_m2p464_ctu8_0p394_ctd8_m1p294_cQj31_m2p278_cQj11_1p091_cQu1_m0p073_cQd1_1p633_ctj1_2p915_ctu1_2p008_ctd1_m1p977, Value: 0.00770412, Description: N/A
Weight ID: EFTrwgt4_ctGIm_m0p271_ctGRe_0p237_cQj38_m0p262_cQj18_0p759_cQu8_2p427_cQd8_m2p068_ctj8_2p982_ctu8_m1p424_ctd8_m2p853_cQj31_0p932_cQj11_0p282_cQu1_1p915_cQd1_m1p17_ctj1_1p119_ctu1_0p547_ctd1_0p586, Value: 0.00549526, Description: N/A
Weight ID: EFTrwgt5_ctGIm_0p352_ctGRe_m0p063_cQj38_1p97_cQj18_1p173_cQu8_m0p028_cQd8_m2p691_ctj8_m2p759_ctu8_2p57_ctd8_0p326_cQj31_m2p607_cQj11_0p883_cQu1_2p428_cQd1_0p567_ctj1_1p238_ctu1_m0p064_ctd1_0p971, Value: 0.0331775, Description: N/A
Weight ID: EFTrwgt6_ctGIm_m0p589_ctGRe_0p569_cQj38_m1p369_cQj18_m0p14_cQu8_m2p139_cQd8_m1p795_ctj8_1p186_ctu8_m2p135_ctd8_2p262_cQj31_m1p005_cQj11_m0p728_cQu1_m0p87_cQd1_m0p82_ctj1_m2p562_ctu1_0p439_ctd1_m2p807, Value: 0.126478, Description: N/A
Weight ID: EFTrwgt7_ctGIm_0p146_ctGRe_0p938_cQj38_1p304_cQj18_m2p131_cQu8_m1p028_cQd8_2p588_ctj8_0p189_ctu8_m2p969_ctd8_m1p83_cQj31_m1p58_cQj11_2p115_cQu1_m0p667_cQd1_2p225_ctj1_2p87_ctu1_1p553_ctd1_m2p782, Value: 0.0596607, Description: N/A
Weight ID: EFTrwgt8_ctGIm_m0p019_ctGRe_0p719_cQj38_m1p69_cQj18_1p524_cQu8_m2p353_cQd8_m2p722_ctj8_0p199_ctu8_1p963_ctd8_m1p053_cQj31_1p331_cQj11_m1p903_cQu1_m0p091_cQd1_m1p174_ctj1_2p755_ctu1_0p055_ctd1_m0p756, Value: 0.0318232, Description: N/A
Weight ID: EFTrwgt9_ctGIm_m0p875_ctGRe_0p859_cQj38_m2p737_cQj18_0p547_cQu8_2p088_cQd8_m2p538_ctj8_2p811_ctu8_m0p766_ctd8_0p765_cQj31_m0p287_cQj11_m0p609_cQu1_1p724_cQd1_m2p349_ctj1_1p296_ctu1_m2p97_ctd1_m0p24, Value: 0.0663546, Description: N/A
